file;LSmin;LSmax;LSsum;LSmean;LSstandardDev;LSvarience;LSmedian;DSmin;DSmax;DSsum;DSmean;DSsd;DSvarience;DSmedian
Adtya_OD1;0.55201175984;0.95846019367;26.66878515347;0.8333995360459375;0.09241357118766409;0.008540268139657458;0.81522405948;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Adtya_OD2;0.0;0.95846019367;9.25858348289;0.46292917414449997;0.42431982224439563;0.1800473115495155;0.66885833196;0.0;0.54240153945;2.9585566183499994;0.14792783091749998;0.17914933232502722;0.03209448327250304;0.147928
Adtya_OD3;0.0;0.89940270601;21.381282269370004;0.6897187828829033;0.33948164953109994;0.11524779036835656;0.82704904097;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bruno_OD1_edges;0.55201175984;0.98585303723;29.86427601458;0.8532650289879999;0.09356600829460747;0.008754597908186555;0.86076973761;0.0;0.49811668828;1.4943500648399999;0.04269571613828571;0.13944362498868407;0.019444524549984757;0.0
Bruno_OD2_edges;0.83107382945;0.99999989896;29.026627204070003;0.9070821001271876;0.05382964212249941;0.002897630371036363;0.89940270601;0.0;0.34097861404;0.34097861404;0.01065558168875;0.05932776799184639;0.0035197840548943536;0.0
Carlos_OD1;0.37067162072;0.95846019367;29.37760190553;0.8160444973758333;0.1675264348556785;0.028065106375453897;0.8291456474000001;0.0;0.54240153945;2.5348682925699997;0.07041300812694444;0.1754512174116596;0.030783129691233438;0.0
Carlos_OD2;0.6573478497;0.95846019367;19.30949686719;0.8395433420517391;0.06598272277437314;0.004353719704719781;0.85241203734;0.0;0.54240153945;1.62720461835;0.07074802688478261;0.18267061993453176;0.03336855538726615;0.0
Carlos_OD3;0.81119322364;0.93390827974;23.386247717630003;0.8661573228751853;0.04623764439097072;0.0021379197588258666;0.89904298863;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Elayat_OD2;0.8360928205;0.95846019367;17.46257427642;0.873128713821;0.03411094591223066;0.0011635566310271258;0.86313010146;0.0;0.54240153945;0.54240153945;0.0271200769725;0.11821367486417202;0.013974472924892175;0.0
Elyat_OD1;0.80936123255;0.98585303723;24.12139603894;0.8933850384792592;0.06257209204174327;0.003915266702480391;0.86349844945;0.0;0.49811668828;1.99246675312;0.07379506493037037;0.1769543493289896;0.03131284174644608;0.0
Elyat_OD3;0.0;0.93390827974;22.57009338262;0.8359293845414816;0.17005248827575367;0.02891784876877534;0.89904298863;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fayzan_OD1;0.0;0.95846019367;10.810994313710001;0.568999700721579;0.39079423904320226;0.15272013726935552;0.80936123255;0.0;0.49811668828;2.9120687531200002;0.15326677648;0.19016643536197217;0.036163273138279134;0.153267
fayzan_OD2;0.81958463932;0.95846019367;16.2498934151;0.8552575481631579;0.03796957261827743;0.0014416884448146432;0.85241203734;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H1_OD1;0.80936123255;0.95846019367;26.85617600346999;0.8663282581764513;0.04631333546981887;0.0021449250423399824;0.86115112287;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H1_OD2;0.0;0.95846019367;13.429106267329999;0.5595460944720833;0.40211843877121534;0.16169923879979964;0.82794590956;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H1_OD3;0.0;0.93390827974;19.402743859820003;0.8435975591226088;0.18582667789605936;0.03453155421788579;0.89940270601;0.0;0.0;0.0;0.0;0.0;0.0;0.0
J1_OD1;0.0;0.95846019367;11.62035554626;0.5810177773130001;0.3844845634613641;0.14782837954007574;0.80936123255;0.0;0.49811668828;2.84638075312;0.142319037656;0.18827041158285335;0.035445747877577;0.0711595
J1_OD3;0.0;0.93390827974;18.468835580080004;0.8394925263672729;0.18898039728629007;0.035713590558484026;0.89922284732;0.0;0.0;0.0;0.0;0.0;0.0;0.0
J2_OD2;0.81958463932;0.95846019367;14.602106455360001;0.8589474385505883;0.04005261837937143;0.001604212239043562;0.86076973761;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ruban_OD1;0.0;0.95846019367;10.810994313710001;0.568999700721579;0.39079423904320226;0.15272013726935552;0.80936123255;0.0;0.49811668828;2.9120687531200002;0.15326677648;0.19016643536197217;0.036163273138279134;0.153267
Ruban_OD2;0.81958463932;0.95846019367;16.2498934151;0.8552575481631579;0.03796957261827743;0.0014416884448146432;0.85241203734;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ruban_OD3;0.81119322364;0.93390827974;20.267640992100002;0.8812017822652175;0.045739110405554506;0.002092066220691504;0.89940270601;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S1_OD1;0.80936123255;0.98585303723;26.587930342259995;0.8862643447419998;0.06577997804297195;0.004327005511333872;0.86349844945;0.0;0.49811668828;2.4905834414;0.08301944804666667;0.18563712928685883;0.034461143769865935;0.0
S1_OD3;0.0;0.93390827974;21.236054845570003;0.786520549835926;0.2815860816016717;0.07929072135178332;0.89940270601;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S2_OD2;0.81958463932;0.95846019367;16.2498934151;0.8552575481631579;0.03796957261827743;0.0014416884448146432;0.85241203734;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Saad_OD1;0.0;0.95846019367;11.723276879090001;0.5328762217768183;0.40666823232685867;0.16537905118385188;0.80936123255;0.0;0.49811668828;3.9137754414000003;0.1778988837;0.19039782839260522;0.03625133305661994;0.177899
Saad_OD2;0.8360928205;0.95846019367;18.2061581352;0.8669599111999999;0.03424336111198323;0.001172607780245685;0.86076973761;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Saad_OD3;0.0;0.89940270601;16.205079991630004;0.771670475791905;0.2527441484655327;0.06387960458356726;0.82916346495;0.0;0.0;0.0;0.0;0.0;0.0;0.0
